sigma_std,noise,seed,phi,phi_tempvar,ar1,real_mean,real_std,frac_lo,frac_hi
0.025,0.7,6,0.9490175184971432,0.0012472783159632353,0.9891812846944392,0.701032957702552,0.026108059680629528,0.0,0.0
0.025,0.7,7,0.949558230142122,0.0004024131063685963,0.9655327732236849,0.7006036850563988,0.024102816263326842,0.0,0.0
0.025,0.7,8,0.9474155485884925,0.000507983907541369,0.9717532135427519,0.7027375974469693,0.025124185208490565,0.0,0.0
0.025,0.7,9,0.942152943779855,0.000919458387080418,0.9818376785011206,0.7001185906710635,0.026138891197340343,0.0,0.0
0.025,0.7,10,0.9513583399024682,0.0006200634916541738,0.9802040523909129,0.6982576535096884,0.023601779916804278,0.0,0.0
0.025,0.7,11,0.946613462787697,0.0007421507412861835,0.9803183337519126,0.6974382838334847,0.025775085850569864,0.0,0.0
0.025,0.7,12,0.9472623135545972,0.0007888095686092263,0.9819451873410975,0.7016850644083502,0.026614398033094337,0.0,0.0
0.025,0.7,13,0.9514397133410103,0.0005144735265574654,0.9763419599729326,0.6977429542775918,0.02593347332544299,0.0,0.0
0.025,0.7,14,0.9491470592565616,0.0007542039547505006,0.9820559014398383,0.6999694915906032,0.023801511759228657,0.0,0.0
0.025,0.7,15,0.9477545328770175,0.0009870978913066421,0.9857163747966631,0.7032986530331361,0.02487129242710539,0.0,0.0
0.025,0.7,16,0.9501411464584079,0.0004134265375055372,0.9682437339795555,0.7011739874657761,0.02397093529394519,0.0,0.0
0.025,0.7,17,0.9431836063843209,0.0007815964205322572,0.9799901046518704,0.7024590632389525,0.028175187234155925,0.0,0.0
0.025,0.7,18,0.9429980626356902,0.0007547211508534769,0.9787865588990616,0.7024557790077849,0.02425691406591262,0.0,0.0
0.025,0.7,19,0.9455201461052866,0.0007089219651659138,0.9794514446613705,0.7019214868366679,0.022455057154993397,0.0,0.0
0.025,0.7,20,0.9542998483847686,0.0003441444936224449,0.9663108361189412,0.6984648249032359,0.024687334437152215,0.0,0.0
0.05,0.3,1,0.9898659146999347,2.7643837629081055e-5,0.9791410767272191,0.6985493648523426,0.04892814398132513,0.0,0.01
0.05,0.3,2,0.990509539867751,1.6631382658562918e-5,0.9690432950680195,0.6999080102724617,0.0467312270703716,0.0,0.015
0.05,0.3,3,0.9901218545354915,2.2399388468819836e-5,0.9755752186962338,0.6986390281913673,0.048783304845327,0.0,0.01
0.05,0.3,4,0.9910079474979882,2.4829894818059238e-5,0.981922072076734,0.702069138794076,0.047503646100033256,0.0,0.01
0.05,0.3,5,0.990520757588509,2.2865960933791156e-5,0.9771591568575857,0.7040833332364365,0.052978082121730344,0.0,0.035
0.05,0.3,6,0.9897919637649386,3.221355373732525e-5,0.9823585753311975,0.6980507548402541,0.053744010005480514,0.0,0.02
0.05,0.3,7,0.9902774007114153,1.4642344846409525e-5,0.9628600392623035,0.7013046410394153,0.048279440874851344,0.0,0.01
0.05,0.3,8,0.989583771013303,2.2862650222823144e-5,0.9737367308365935,0.7054236930877722,0.050273062616138085,0.0,0.01
0.05,0.3,9,0.9908162711000097,2.6280597979011945e-5,0.9812045679915319,0.7002325965768991,0.0525547948061999,0.0,0.02
0.05,0.3,10,0.9891489606089973,2.819059133543083e-5,0.9776301406658423,0.6960296506151556,0.04792041356680575,0.0,0.015
0.05,0.3,11,0.9912292197189223,1.2659030249804533e-5,0.9634823667775995,0.6962019251347992,0.05149244393600205,0.0,0.01
0.05,0.3,12,0.9900688814205122,2.7448450679649692e-5,0.9792938423801254,0.7032273442910651,0.05307240298382973,0.0,0.04
0.05,0.3,13,0.989853017048788,2.3278094539330326e-5,0.9756380330333275,0.6954350429005423,0.0523366571016182,0.0,0.01
0.05,0.3,14,0.991681869919037,1.0475796355643989e-5,0.9589835008569843,0.7001236557038207,0.047716682279045845,0.0,0.01
0.05,0.3,15,0.989400552650519,3.5189511449588374e-5,0.9826729379319512,0.7066528477731154,0.04961825167261132,0.0,0.01
0.05,0.3,16,0.9883973024253077,6.890036607576244e-5,0.9900724787148185,0.7006051879465541,0.04568703364996098,0.0,0.01
0.05,0.3,17,0.9914644795910703,1.1065749303922578e-5,0.9599437331565155,0.704625542392675,0.056185829886048956,0.0,0.025
0.05,0.3,18,0.9887016725041459,3.673053831385693e-5,0.9813994181754936,0.7049425612639503,0.04835013840146549,0.0,0.015
0.05,0.3,19,0.9907307849458349,3.188947399242802e-5,0.98430773448918,0.7040612761808955,0.044715753107211244,0.0,0.015
0.05,0.3,20,0.9913069975402553,1.5868763422480327e-5,0.971631714998949,0.6969475379757898,0.049451818626803194,0.0,0.005
0.05,0.5,1,0.9734917332496363,0.00011862168534080697,0.966445750393029,0.6985493648523426,0.04892814398132513,0.0,0.01
0.05,0.5,2,0.9710385336403883,0.00020241275516955806,0.9776317387416448,0.6999080102724617,0.0467312270703716,0.0,0.015
0.05,0.5,3,0.9715637252481847,0.00018161882198483605,0.9763187048067488,0.6986390281913673,0.048783304845327,0.0,0.01
0.05,0.5,4,0.9716600627247463,0.00019031542275193338,0.9778937002942074,0.702069138794076,0.047503646100033256,0.0,0.01
0.05,0.5,5,0.9722918599485704,0.00012708722847644361,0.9658376904522032,0.7040833332364365,0.052978082121730344,0.0,0.035
0.05,0.5,6,0.9749483710046387,0.0001389756962154181,0.9746862226154273,0.6980507548402541,0.053744010005480514,0.0,0.02
0.05,0.5,7,0.9746669413619997,0.00022792640134728748,0.9841613138420013,0.7013046410394153,0.048279440874851344,0.0,0.01
0.05,0.5,8,0.9737468101989143,0.00017627180674615716,0.9782834342967347,0.7054236930877722,0.050273062616138085,0.0,0.01
0.05,0.5,9,0.9763791665591756,0.00017129982598646648,0.9815893826737889,0.7002325965768991,0.0525547948061999,0.0,0.02
0.05,0.5,10,0.9743133840350198,0.0001127077834725924,0.966606031671684,0.6960296506151556,0.04792041356680575,0.0,0.015
0.05,0.5,11,0.9697125736301155,0.00027896460676904157,0.9836697918054054,0.6962019251347992,0.05149244393600205,0.0,0.01
0.05,0.5,12,0.9741510812975422,0.00012468849237096897,0.9704265674540719,0.7032273442910651,0.05307240298382973,0.0,0.04
0.05,0.5,13,0.9741015923889502,0.0001617317585209347,0.9776890091575103,0.6954350429005423,0.0523366571016182,0.0,0.01
