N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.25,0.5,12,0.9476325079596559,0.9000040887877311,0.8160829032074491,0.9922051236290204,0.006818551996956357,0.24931089935453415
100,0.25,0.5,13,0.9285019471849068,0.8670727437404617,0.7650392255409532,0.9958455201795697,0.020318379101320616,0.2505767413482183
100,0.25,0.5,14,0.9584405079506753,0.9197760742781235,0.8498865384553541,0.9883477647155902,0.0036084612026670015,0.22130877526454046
100,0.25,0.5,15,0.9358555724043756,0.8795334424886277,0.7837080611322557,0.9948574386953348,0.009765091518747049,0.23739606236537636
100,0.25,0.5,16,0.9347799646570127,0.878660411677699,0.7840808839843421,0.9962835150116638,0.022109789741176278,0.26113277220613174
100,0.275,0.5,1,0.9292694261836727,0.8672814297809913,0.7630942179821842,0.9947761809339424,0.03553123066713426,0.26785956150121526
100,0.275,0.5,2,0.9287859072919349,0.8670051690784439,0.7633356160590906,0.9952866880134832,0.005248319329077877,0.28959764894823803
100,0.275,0.5,3,0.9266148973739997,0.8658802475593819,0.7656691203770848,0.997188902972343,0.05850570212560191,0.24673091392802377
100,0.275,0.5,4,0.9020363248313177,0.8208567614749187,0.692538865923284,0.9957546373078511,0.01911993443011417,0.3198700348987386
100,0.275,0.5,5,0.9293951990961093,0.8684788029783027,0.7669388366343667,0.9949555309613403,0.0014717959594493513,0.25009868472815394
100,0.275,0.5,6,0.9157097491158313,0.8436407156594611,0.7260843701002939,0.9950161944568802,0.003489120703738746,0.2906715047703094
100,0.275,0.5,7,0.9486544038589538,0.9017163179842311,0.8187702623244463,0.9901497575172175,0.009915110867433241,0.2489253366862924
100,0.275,0.5,8,0.9180644234409582,0.8481302090431622,0.7341743702342843,0.9947934650800881,0.03000580146858156,0.256769986931233
100,0.275,0.5,9,0.9430827174301739,0.8916189635531513,0.8019839166269201,0.9913751636253835,0.004964881878302574,0.28350826390534684
100,0.275,0.5,10,0.914464688097376,0.8416886691925755,0.723386401603895,0.9950254128271415,0.02848136100194787,0.28222004844485216
100,0.275,0.5,11,0.9157730443656119,0.8435790419974348,0.7249960910634435,0.9953921771602413,0.01956000956419801,0.2843999121807539
100,0.275,0.5,12,0.9075849991326497,0.8308999758508646,0.7098346757895618,0.9960194113568397,0.0026335720347271385,0.26875283134494465
100,0.275,0.5,13,0.9179032412078483,0.8488042681161846,0.736351297142769,0.9959190294591593,0.0033722798526709674,0.2741409109724815
100,0.275,0.5,14,0.9077464257003103,0.8309786869711178,0.7086042609862109,0.9961505651300705,0.026433815972977004,0.28816600249547775
100,0.275,0.5,15,0.9471548524449268,0.8995162451418605,0.8162104220671127,0.9934488476447141,0.004739109083283233,0.2393576696709322
100,0.275,0.5,16,0.919347118345166,0.8510793978898573,0.739488479538394,0.9959301534690732,0.004478735842834647,0.27230108376224754
100,0.3,0.5,1,0.9444447300823351,0.8942620672664947,0.8069693171470571,0.9915030794823665,0.004857791599912731,0.24666631915444734
100,0.3,0.5,2,0.9308693127776715,0.8729130720835571,0.7778033531463249,0.9964203159062046,0.01061510991536585,0.2665700855830622
100,0.3,0.5,3,0.9138363809627155,0.8387738734860474,0.7139349270262138,0.9929299199547382,0.007951812253727208,0.3050758679852461
100,0.3,0.5,4,0.8475689889417958,0.7329458754143332,0.5681368760248555,0.9971194688528544,0.03334494933678922,0.3247415465382076
100,0.3,0.5,5,0.9406324839932749,0.8870388169063248,0.7934314378848276,0.9914441880066662,0.006149579416467321,0.28083298595689143
100,0.3,0.5,6,0.8399587211138758,0.7204565042470973,0.549131742610413,0.997141823019779,0.04838738225563599,0.33703342158881777
100,0.3,0.5,7,0.8906643818205805,0.8035321142675388,0.6692681750276858,0.9970156810813853,0.026829331779414267,0.30286976861014986
100,0.3,0.5,8,0.907919215523812,0.8347312389529054,0.7193662573751571,0.9974072075626587,0.032380967905308755,0.2798077320051585
100,0.3,0.5,9,0.9472897068052037,0.8991045859641675,0.8139903558282731,0.9891315501819816,0.007336482070774086,0.24933315443524923
100,0.3,0.5,10,0.8835273167130919,0.7907353339855866,0.6479910999720159,0.9970634438134222,0.05620982630970617,0.30646358496956766
100,0.3,0.5,11,0.8952058942703223,0.81377368963513,0.6898406652476424,0.9976260785680745,0.005335457491862927,0.2845741002995025
100,0.3,0.5,12,0.9127300120120166,0.8392782297445872,0.7198118092632836,0.9954174090575063,0.0005354795097504139,0.2847498592210594
100,0.3,0.5,13,0.9245060665963247,0.8600697541588532,0.7538610239988416,0.9955179689532005,0.010141997314221052,0.2816219241655136
100,0.3,0.5,14,0.8906998050160181,0.8009233053746478,0.660329502563107,0.9952390271464782,0.029210030812618082,0.3041804871295628
100,0.3,0.5,15,0.9055715715426733,0.8299692872272088,0.7111030323573632,0.9976724286950296,0.03789789607734384,0.2961622109708097
100,0.3,0.5,16,0.9021413350021087,0.8217958594573964,0.6954924949623191,0.9963083606919405,0.011847326581149509,0.29876399789834535
100,0.325,0.5,1,0.8857063536736416,0.7947612550067786,0.654623137588517,0.9967249413300842,0.03927929477517089,0.32663711532046735
100,0.325,0.5,2,0.9052700094372925,0.8248208868922604,0.695137708353381,0.9945581482364829,0.005166250527612659,0.3061749237907945
